propertyValue,nodeIds,numNodes
6179.0,"['1402724052163309571', '1487141942077136901']",2
6180.0,['769132309123563521'],1
6181.0,['962200061802315777'],1
6182.0,['1574053697193115649'],1
6183.0,['1306339928037523457'],1
6185.0,['1260266909494280193'],1
6186.0,['1215723478323691521'],1
6187.0,['2402489766'],1
6188.0,['1596267747205316609'],1
6189.0,['1573975862453600257'],1
6191.0,['579540400'],1
6194.0,['1573757245128572930'],1
6195.0,['1572678816153075714'],1
6198.0,['886093060517449728'],1
6199.0,['373495223'],1
6201.0,['3879933375'],1
6203.0,['1155609765675847680'],1
6205.0,"['62854586', '85335667']",2
6206.0,"['711398857', '1911956732']",2
6207.0,"['190256586', '1360262721833345025']",2
6208.0,"['1399391093922410501', '1281604908643258369', '366874629']",3
6209.0,['968741605158027267'],1
6211.0,['2723616214'],1
6212.0,['38737371'],1
6213.0,['83301857'],1
6214.0,['1375576602193637382'],1
6215.0,['1540139531885740036'],1
6216.0,['35067386'],1
6218.0,['1534097886216060933'],1
6219.0,"['3000964616', '1455986521190764545']",2
6221.0,['934745617'],1
6222.0,"['1320749575129518080', '1329127746665132034']",2
6224.0,['32970275'],1
6226.0,['578491950'],1
6228.0,['1082913406900948992'],1
6229.0,['1085906733086724096'],1
6231.0,['874410166946549760'],1
6232.0,['1004753636071755776'],1
6234.0,['922211366244634624'],1
6235.0,['602347074'],1
6236.0,['997729179209748480'],1
6237.0,"['2415072836', '1111901893322858497', '864624748738875392', '1497565741800960009']",4
6240.0,['1514460575400669194'],1
6241.0,"['25106021', '2760750842']",2
6243.0,['2164463211'],1
6244.0,['872472438763868162'],1
6245.0,['851539939741245440'],1
6246.0,"['957081972039327744', '1359764902076768258', '1448092358743138310']",3
6247.0,['1301112499681468416'],1
6248.0,"['891813889683333120', '1374497646820220937']",2
6249.0,"['1958942330', '344425346', '241244955', '912858588', '2391639956', '30799310']",6
6250.0,['68884093'],1
6251.0,['3623556741'],1
6252.0,"['22913509', '621542798', '28837536', '500231605']",4
6253.0,['1049826955'],1
6254.0,"['456070801', '19614824', '501179073', '872966663439880193', '2789482697', '1435272849128923140', '20995648', '1354391399089778688', '1500793590104170497', '366569404', '459390022', '1091301674457722880', '1010156188414210050', '1534451987944771584']",14
6255.0,['782964384'],1
6256.0,"['27203233', '804500517804064768']",2
6257.0,['1594299562423775232'],1
6259.0,['1213401382868250624'],1
6262.0,['241637035'],1
6264.0,['1322867300257681413'],1
6268.0,['1329823480812957697'],1
6269.0,"['62592710', '22042254']",2
6270.0,['347805386'],1
6272.0,['1574886443511685120'],1
6273.0,['1590869748228792320'],1
6274.0,['1540471013376499712'],1
6275.0,['1297184346730897408'],1
6279.0,['1574745610460307456'],1
6280.0,['1031304721347354624'],1
6281.0,['1573355828299669504'],1
6283.0,"['1061723439164219392', '3134680349']",2
6284.0,['949327030205734912'],1
6285.0,['1219633580705505280'],1
6286.0,['1859327748'],1
6287.0,['1343208061918437376'],1
6289.0,"['1124717835786313728', '270609583']",2
6293.0,['1176232012568518657'],1
6295.0,['1226275214457233409'],1
6300.0,['1208013793059594242'],1
6302.0,['1334192836393230339'],1
6305.0,['1329431847873470467'],1
6306.0,['1337559308171665412'],1
6307.0,['1220715973801598979'],1
6308.0,['988429466614554629'],1
6309.0,['1344220224497836037'],1
6310.0,"['1015240070520037381', '1144723836480512001']",2
6311.0,['1016472487780081669'],1
6313.0,['1352601507003293702'],1
6314.0,['416749344'],1
6315.0,['1156319438523785222'],1
6316.0,['1353728968281743366'],1
6317.0,['964213038592221190'],1
6318.0,['1331655167490580486'],1
6321.0,['754029104744263680'],1
6322.0,['2187794209'],1
6323.0,['299046694'],1
6324.0,['2534086440'],1
6325.0,['1223226005873156103'],1
6326.0,['1209169018298490887'],1
6327.0,['1031387511917043719'],1
6328.0,['47388463'],1
6329.0,"['144906035', '10688732']",2
6330.0,"['1200874363244961802', '1155742340830650368']",2
6331.0,"['1368459190105042950', '54307714', '1401592047035895812']",3
6333.0,['1387495449771352067'],1
6334.0,['826302237957844993'],1
6335.0,['1570846120489750528'],1
6336.0,['755701578'],1
6338.0,['1892882257'],1
6339.0,['1533483706907860996'],1
6342.0,['1547593349841895424'],1
6344.0,['1573162656491454464'],1
6345.0,['1552157193633349632'],1
6349.0,['1462598709523333121'],1
6351.0,"['1338013437822058497', '617299845']",2
6353.0,"['1488572763707252742', '20479252']",2
6355.0,['1572189679448989702'],1
6357.0,['989756521432039426'],1
6358.0,['787390576194752512'],1
6359.0,['4466612117'],1
6362.0,"['205199260', '1038442278702833665', '1304700305657925632']",3
6363.0,['4410775458'],1
6365.0,['939645363220123649'],1
6366.0,"['1009128233768443904', '15729784', '1152839563133378560']",3
6367.0,"['3063879599', '50772918']",2
6370.0,['970921920'],1
6371.0,"['1540838274419367945', '4384312528', '14932455']",3
6372.0,"['4228323280', '1325398873452515328']",2
6373.0,['1095732318025760768'],1
6374.0,"['1070296207438856192', '1962928999']",2
6376.0,"['18028509', '18700893', '2994604497']",3
6377.0,['1097532467400097793'],1
6378.0,['1266103493464637441'],1
6380.0,['95885303'],1
6381.0,['3274643460'],1
6383.0,['1270779062508797954'],1
6384.0,['816662134163640320'],1
6388.0,['630396946'],1
6389.0,['965416988'],1
6390.0,"['272308257', '1123762980292898817', '276127787', '3843925099']",4
6392.0,['1333212411814350849'],1
6393.0,['1468624393048059904'],1
6395.0,['1481096948279308289'],1
6396.0,['1369703177931591682'],1
6397.0,['534976573'],1
6403.0,['4046395456'],1
6405.0,['739711045'],1
6407.0,"['1166275714347229184', '1239440093586178049']",2
6408.0,['2867796043'],1
6409.0,['1593468200574152706'],1
6412.0,"['3345160305', '1587407218324168709']",2
6416.0,['3307673726'],1
6417.0,"['96934015', '111516780']",2
6418.0,['2179668098'],1
6419.0,['67049606'],1
6420.0,['1438149347644936197'],1
6422.0,['1411763821371445250'],1
6427.0,['1388683524782411776'],1
6428.0,"['106109075', '940573555024191489']",2
6429.0,['3152484502'],1
6430.0,['1381080574215983110'],1
6431.0,"['4397221', '2803191']",2
6432.0,['240851113'],1
6433.0,['364845226'],1
6434.0,"['23009452', '14489367']",2
6435.0,['603134138'],1
6437.0,"['1341630923897495553', '1511461275615866881']",2
6440.0,"['29300956', '20930065', '43063188']",3
6442.0,['1351639263385935874'],1
6443.0,"['707967655031005186', '1118148313415548929']",2
6446.0,['1542047511505907712'],1
6449.0,['1597337776021680129'],1
6452.0,['2657032491'],1
6453.0,['2573408563'],1
6455.0,"['1347693191315775493', '1421578513165864962']",2
6456.0,['454236505'],1
6457.0,"['95885662', '1116001332522041347']",2
6458.0,['3039762797'],1
6459.0,['1536784336959287296'],1
6462.0,"['1113747629282930688', '75979875']",2
6465.0,['1137761066312773632'],1
6467.0,['1208835591997206528'],1
6468.0,['1195475190521769984'],1
6470.0,"['41359753', '37252275']",2
6471.0,['1517737282819829761'],1
6472.0,['1217457073660866561'],1
6474.0,['137042317'],1
6478.0,"['2349799826', '293424894']",2
6479.0,['1481074942422790145'],1
6481.0,['3873181'],1
6482.0,['1523352198792589314'],1
6483.0,['1413287277632139266'],1
6484.0,['791522857692069888'],1
6485.0,['1377757700893868032'],1
6487.0,['182655398'],1
6488.0,['1136277497635647490'],1
6489.0,['730012074'],1
6492.0,"['1489443254', '62601419', '1299390544569937921']",3
6498.0,"['1269343780337070083', '1100432038589550594', '633334674', '728314990373920768']",4
6499.0,"['1500777412598149123', '1142940366678761478']",2
6500.0,['84613584'],1
6502.0,['2755074516'],1
6503.0,['522131924'],1
6504.0,"['18815447', '257798575']",2
6505.0,['2435520986'],1
6507.0,"['1154766080918769664', '1128126469941547009', '1357730271844466688', '448764973', '157263795', '1170118181173846016', '198461761', '83384000', '3306712843', '172057857', '157903235', '734387593815560193', '312053719', '1490309115943747584', '820826373916921856', '273034419', '2939828990', '1403688253690040321', '1485674672440356866', '582653236']",20
6508.0,"['777741819861880832', '2783160078']",2
6509.0,"['46078438', '1459908087377244167', '1164546123970830336', '52465874', '1521261454090977285']",5
6511.0,['209918439'],1
6514.0,"['43194865', '14574055']",2
6516.0,['1393568713660518401'],1
6517.0,['1222415798607630337'],1
6519.0,['1463921720809574401'],1
6520.0,['2303138299'],1
6521.0,['3428784646'],1
6522.0,"['329980425', '1923985016']",2
6523.0,['216996363'],1
6524.0,['715462596246118400'],1
6525.0,['760472992904126464'],1
6526.0,"['15407632', '22869559', '1566202044']",3
6527.0,['849607165383811072'],1
6529.0,['2158172695'],1
6530.0,['355932696'],1
6531.0,['2348489246'],1
6532.0,"['21436960', '25219709']",2
6533.0,"['517937710', '2896929926']",2
6534.0,"['2167347758', '759105944836005888']",2
6535.0,['3310557747'],1
6537.0,"['1452018739193557000', '22571213']",2
6539.0,['1509379113236123652'],1
6541.0,['453450329'],1
6544.0,['1143175337213382656'],1
6545.0,['827450686040395776'],1
6546.0,"['85400161', '208090646', '1299203466301243392', '1026576700610621441', '777141622634979329', '1519029359125872640']",6
6547.0,['67312225'],1
6548.0,['1202931141235396609'],1
6549.0,['1168355880871612417'],1
6550.0,['817378404689465345'],1
6551.0,"['898809480577765377', '1492949063062503424']",2
6553.0,['911153784'],1
6554.0,['874025725057257473'],1
6555.0,"['1231120279956574209', '1472486816343375872']",2
6557.0,['2148618240'],1
6558.0,['102439559'],1
6559.0,['891677239632416770'],1
6560.0,['1231523096349331458'],1
6561.0,['1003805064455213058'],1
6565.0,['1573998869846827008'],1
6566.0,['1594254270085341184'],1
6567.0,['1290100005232168962'],1
6569.0,"['403380894', '1480834772029083651']",2
6570.0,['1502968553599041536'],1
6571.0,['1585464743262822401'],1
6572.0,['1515785362538659840'],1
6574.0,['1579942485572329473'],1
6575.0,['1567025178692952065'],1
6576.0,['1489443500'],1
6577.0,['1533446612462501888'],1
6580.0,['1579031794933964801'],1
6581.0,['954486162227417092'],1
6583.0,"['1497573593907363841', '23590132', '1248278618423185410', '1287157114507538432']",4
6585.0,['1138475635267923968'],1
6586.0,['965829865013309440'],1
6587.0,['1090902607181180928'],1
6588.0,['1588009669'],1
6591.0,"['1371615055398105088', '1373739644']",2
6592.0,['1582242506'],1
6594.0,['868231463061377029'],1
6596.0,"['1001236232704315398', '2248566650']",2
6597.0,['168237814'],1
6600.0,"['538647298', '181109114']",2
6603.0,"['449256200', '1500089079228157955']",2
6604.0,['1576953639574315013'],1
6605.0,['1591913833152520197'],1
6606.0,"['1447238424', '975886506886918151']",2
6607.0,"['366943003', '1499755534463156224']",2
6609.0,['1595355670421078021'],1
6610.0,"['1157045029', '987673392458485760']",2
6611.0,"['154344235', '1219985942058061826']",2
6613.0,['626465602'],1
6614.0,['712475590188789760'],1
6619.0,['336534357'],1
6620.0,"['2400394072', '1178948555542843392']",2
6621.0,['1032526700'],1
6622.0,['2645236594'],1
6624.0,['990697277474848768'],1
6625.0,['2822708088'],1
6627.0,"['427760524', '445859912']",2
6628.0,['890011899705802753'],1
6629.0,['3113687956'],1
6630.0,['1596061893424254976'],1
6631.0,"['30350242', '197962366']",2
6632.0,['1551440476964003841'],1
6633.0,['1562987727930662913'],1
6636.0,['1352080316'],1
6637.0,['709565380'],1
6638.0,['586095563'],1
6639.0,"['4077329355', '1439206173803229184']",2
6640.0,"['120265682', '89517777']",2
6641.0,"['14883821', '7184612']",2
6642.0,['1567884749498204160'],1
6643.0,['1577035123903676416'],1
6646.0,"['473897988', '1731561564']",2
6647.0,['1149443076'],1
6648.0,"['243997708', '24511488']",2
6655.0,['148839445'],1
6657.0,['1588125764817502209'],1
6658.0,['2245991448'],1
6663.0,"['1193999290395430912', '14845783']",2
6664.0,"['1076482006928756736', '66673916']",2
6666.0,['1525238060979568642'],1
6667.0,"['188947502', '216240467']",2
6668.0,['952223886376079360'],1
6669.0,['938138895463649280'],1
6670.0,['292756520'],1
6671.0,"['1252903511119007744', '421332970']",2
6674.0,['91167808'],1
6675.0,['1572989869764362243'],1
6676.0,['1572548741936156672'],1
6677.0,"['1216486464894177281', '1080539438508400642']",2
6678.0,['178986051'],1
6679.0,['960103178363637761'],1
6680.0,['355408966'],1
6681.0,['1172265000846659585'],1
6683.0,"['351738970', '18454770']",2
6685.0,['1215387665425666050'],1
6686.0,"['1080578996759257088', '1559209126307463169']",2
6687.0,"['142810229', '2275935314']",2
6689.0,['1011555451'],1
6693.0,['1597489265969184774'],1
6696.0,['707892978677723136'],1
6697.0,['1270053083855204352'],1
6699.0,['1260229942014390272'],1
6700.0,['277290134'],1
6702.0,['1272922628815073281'],1
6703.0,['782814934723735553'],1
6704.0,['144907444'],1
6705.0,['2998344888'],1
6708.0,"['586095808', '3028079651']",2
6709.0,['307436737'],1
6710.0,['55778501'],1
6711.0,['345185480'],1
6712.0,['18029781'],1
6713.0,['1425218774'],1
6715.0,['871868111489818624'],1
6716.0,"['1303046104695660544', '1517516962989232129']",2
6717.0,['1232114851872464896'],1
6718.0,"['1255837805231693824', '205463662', '566226304', '482866177', '485231111', '1702119289', '1544307182967062536', '1381072388746448896', '1033695277', '18435784', '1495998536235859970', '150329878', '1511080199319965697', '1264222306785779712', '1364639441604800513', '1497279722002210817']",16
6719.0,"['65740000', '347443535']",2
6721.0,['1244460162523553792'],1
6722.0,['1327216609216389120'],1
6723.0,['1244555007212609536'],1
6724.0,['869061025554980864'],1
6725.0,"['2407734505', '91662079']",2
6727.0,"['495656177', '56113952']",2
6728.0,"['15670515', '762522504']",2
6729.0,['868499834659102721'],1
6730.0,"['2179669239', '1015450649339801605', '80498631', '253259271', '1466750765528240128', '2413857985', '1552554354', '70394965', '1445899525']",9
6731.0,"['851046049372397569', '1086565275527467008']",2
6732.0,['1362834296260747265'],1
6733.0,['1363317749590745089'],1
6734.0,['1206543940247314433'],1
6735.0,['753343741'],1
6739.0,['906273084184944642'],1
6740.0,['1337623471866654720'],1
6741.0,['107683091'],1
6746.0,"['551230758', '937090267886141440']",2
6747.0,['2511281448'],1
6748.0,"['1333859971482738691', '1329273035032059909']",2
6751.0,['1527459483378946048'],1
6753.0,['394730813'],1
6755.0,['58924356'],1
6756.0,['1344487842144202754'],1
6758.0,['958435821144571904'],1
6759.0,"['1023437226565238784', '89164131', '534933558']",3
6760.0,['423304522'],1
6761.0,['1645157713'],1
6762.0,['146218332'],1
6763.0,['1573440681158545410'],1
6765.0,['7806312'],1
6768.0,['1212011931009089538'],1
6771.0,['1590310161087836160'],1
6772.0,"['1574008931214536704', '1231704512269897728', '3302025423']",3
6773.0,['1534410645931667456'],1
6774.0,['1564415714676551680'],1
6775.0,['1577939595760611328'],1
6777.0,"['1502695221619961857', '1457853619991101444']",2
6778.0,['1573911545658060800'],1
6779.0,['1504261854570328064'],1
6782.0,['1559513286416117761'],1
6783.0,['1100440476912562177'],1
6788.0,['1504475306307989506'],1
6790.0,"['1511474386733215746', '573918122']",2
6792.0,['1576455909936574467'],1
6793.0,['1513558286452240387'],1
6794.0,['1509508602398093316'],1
6795.0,['1575630822870200323'],1
6797.0,['1547911941519159300'],1
6798.0,"['1505624372723257347', '2735587262']",2
6799.0,['281484701'],1
6800.0,['1564962985759584262'],1
6801.0,['338107808'],1
6802.0,['1504111899092299783'],1
6804.0,['1504477679722016776'],1
6805.0,['22224298'],1
6807.0,"['17243582', '50073507', '26061966']",3
6808.0,['812944040463368192'],1
6809.0,['1367181546692739072'],1
6811.0,['52108759'],1
6812.0,"['2914983387', '991360712999137282']",2
6814.0,['3199933929'],1
6817.0,"['947592698', '1125467863']",2
6819.0,['1624186376'],1
6820.0,['439557646'],1
6821.0,['1566185436607033344'],1
6822.0,['1546390333650776064'],1
6823.0,['1280071611371212800'],1
6824.0,['50215948'],1
6827.0,['579018296'],1
6828.0,"['53157441', '455847450']",2
6830.0,"['2190941767', '733608527005159424']",2
6831.0,['304291400'],1
6832.0,['162209354'],1
6837.0,['1482681192336052224'],1
6839.0,['1015652096451006464'],1
6840.0,"['1295971015068209152', '914924121980620802']",2
6841.0,['1574003533078319104'],1
6842.0,"['950673844930596864', '459033261', '252517276', '1400082153346670596', '1069553507114643456']",5
6843.0,"['1432174968679419904', '725169297656520704', '1511682813585772545', '1482046820419260416', '1459120268320944128', '771145493825093632', '1521506591622664192', '781891329945063424', '27900533', '1291192245123776512', '2911254799', '1371320675751792641', '939091', '1519025085205684224', '1448635308132782080']",15
6845.0,"['1217484944836120576', '1519123897102135297']",2
6846.0,['1483114960410628096'],1
6847.0,"['14884486', '284201599']",2
6848.0,['165092999'],1
6849.0,['831463051'],1
6850.0,['1583347008185815040'],1
6852.0,['949387997757296641'],1
6854.0,['1188065949745926145'],1
6855.0,['1537156739673608193'],1
6856.0,['1406229883798409217'],1
6857.0,['1536807584379949056'],1
6859.0,['2827165343'],1
6860.0,"['17547296', '15290609']",2
6861.0,['1912807076'],1
6862.0,['1549853063237849090'],1
6863.0,['1541910453768671234'],1
6864.0,['1189102138649124864'],1
6865.0,['3328646829'],1
6866.0,['1104466961860304896'],1
6867.0,"['1219176308720181248', '1257912170']",2
6868.0,"['1279683511096614912', '1298000218630176768']",2
6870.0,['1511420549385408514'],1
6872.0,['1083069777852145664'],1
6873.0,['1085392809161564160'],1
6874.0,"['1289562326056816643', '1468921302836781061']",2
6877.0,['1244318113920884737'],1
6880.0,['1249827220153081857'],1
6882.0,['1214812308951703553'],1
6885.0,['1250522645956829186'],1
6886.0,"['1121918690', '1537822587924844544']",2
6887.0,"['1423540985691205632', '227547521', '721992033921990656']",3
6888.0,['1283544716617805824'],1
6890.0,"['337845995', '1429289135571824644', '2768501']",3
6892.0,"['14098166', '14492779', '161394982']",3
6893.0,['1564248797181628421'],1
6894.0,['1233258010635653125'],1
6895.0,['1324676860492554243'],1
6896.0,['1453725203293368321'],1
6897.0,['123412225'],1
6898.0,['1651711747'],1
6899.0,['1432937128397361153'],1
6901.0,"['16719628', '310218717']",2
6902.0,['955719440'],1
6904.0,['1251982932601905153'],1
6905.0,"['1453440762373304322', '1232897642788610048']",2
6906.0,"['23797526', '748528101144018944']",2
6907.0,['178200346'],1
6908.0,['2423463718'],1
6909.0,"['3957530409', '706451134']",2
6910.0,['1496867636013158407'],1
6912.0,"['1395150282024275975', '1524412748809003008']",2
6913.0,"['2856787757', '1469493451251200003']",2
6914.0,"['1463331311578345475', '722062299121340416']",2
6915.0,"['4303298356', '13988922']",2
6916.0,"['3815448387', '890990319721959424']",2
6921.0,"['25894740', '1110389035174948864']",2
6922.0,['1947410264'],1
6923.0,['1522676235155001353'],1
6926.0,['1424957282'],1
6928.0,['897164801830514688'],1
6929.0,['1061285926096302080'],1
6930.0,['821570329873182720'],1
6931.0,['1002342136375898112'],1
6933.0,['543104878'],1
6934.0,['2686656377'],1
6936.0,['923690533003948033'],1
6938.0,['1011306072961937409'],1
6939.0,['949021259320487937'],1
6940.0,['1368106437633863681'],1
6941.0,"['859133161703436289', '29829232', '18365936', '26291044', '1043985364820447232', '902266349551927296']",6
6943.0,['2701598598'],1
6944.0,['810940795574513666'],1
6945.0,"['854001165679423490', '1439673705207054336', '1557808436']",3
6947.0,['1572502070581673984'],1
6948.0,['1572576907970887680'],1
6949.0,"['1525984889606127616', '1532310770', '1496745653380141056']",3
6950.0,['1578680868247322624'],1
6952.0,['1581364737207582720'],1
6953.0,['1579598327754145792'],1
6955.0,['2432114593'],1
6956.0,"['1677139874', '1649565757']",2
6958.0,['1591854162693734401'],1
6959.0,['1585316973629554689'],1
6960.0,['1574634416080568321'],1
6961.0,['1510644076831457281'],1
6962.0,['1573995429636751361'],1
6963.0,['1574220852605894657'],1
6964.0,['142021788'],1
6965.0,['1587810702777008129'],1
6967.0,['1432747178401873922'],1
6968.0,['1587287262227742722'],1
6969.0,['1576714631271223296'],1
6970.0,['1534327348719403010'],1
6971.0,['1536891947637346304'],1
6972.0,['1519214233904365570'],1
6973.0,['1572492680709423106'],1
6974.0,['1575680723389845504'],1
6975.0,"['148840410', '723249237442609152']",2
6978.0,['1516050935193157635'],1
6980.0,['1428944676745187329'],1
6981.0,['1541281259527147521'],1
6982.0,['1438541973367885825'],1
6983.0,['355227909'],1
6984.0,"['2289770467', '404757585', '1445882724665888770']",3
6985.0,"['3206750188', '46266780']",2
6986.0,['3481214966'],1
6988.0,['1387128071866695684'],1
6990.0,"['729032021394268160', '632437028']",2
6991.0,['1503123753303220225'],1
6992.0,['1426887662623989760'],1
6993.0,['1487035600112918528'],1
6995.0,['1328997708342960128'],1
6996.0,['704816372874944512'],1
6997.0,"['1493842015041298433', '195271137']",2
6998.0,['1477377000885133313'],1
6999.0,['1328496971125039105'],1
7000.0,['1365438200794259457'],1
7001.0,['1501097253649457154'],1
7002.0,['1402715871760556035'],1
7003.0,['1458045047337852932'],1
7005.0,['1454343438766383110'],1
7006.0,['1372269197431087111'],1
7007.0,['1389743696002883592'],1
7009.0,['1504524815394349069'],1
7012.0,"['1480910042471800845', '1031112010069692416', '584098322']",3
7014.0,['1482340847844794383'],1
7015.0,['1433833766821240848'],1
7017.0,['1422524310128893970'],1
7018.0,['1497185615170969619'],1
7019.0,"['1508160331230683158', '1501307227113676800']",2
7020.0,['2358190105'],1
7021.0,['1451530070166806568'],1
7022.0,"['1580425874230444032', '1490022394718740481']",2
7023.0,"['1497197173439668271', '198607426']",2
7024.0,['1422531419142823983'],1
7026.0,['307437627'],1
7027.0,['404168777'],1
7028.0,['1403284512189124608'],1
7029.0,['1572562063326646272'],1
7031.0,['1406158846842834944'],1
7032.0,['1573279791284948992'],1
7033.0,['2740920395'],1
7034.0,['1393805958795694080'],1
7035.0,['1579423678114238464'],1
7036.0,['1321748502465155072'],1
7039.0,['244785233'],1
7040.0,['88547418'],1
7041.0,['1444411019745443848'],1
7043.0,['1317230986338439169'],1
7045.0,"['1347186286747127809', '1338401166472843265']",2
7046.0,['1356098918338203649'],1
7048.0,['1581023354789761025'],1
7050.0,['1524300170804006913'],1
7053.0,['1169105006'],1
7054.0,['168763503'],1
7056.0,"['1355818185946243192', '1591536814560509956', '1491017488880095234', '1554286115221569537', '1576439841423753217', '54884983', '1572625835705749505', '3548232912', '1518881615669338112']",9
7058.0,['1573731650567081986'],1
7059.0,['1032826060910485504'],1
7061.0,['726075195899973634'],1
7062.0,['1594453778421649408'],1
7063.0,['1573008211615289344'],1
7065.0,['1575054734020710400'],1
7067.0,['1572081160255311873'],1
7068.0,['1597401341764440064'],1
7070.0,['1595748030074195969'],1
7074.0,['1572684634970001410'],1
7075.0,['1575589658247172097'],1
7076.0,['1572324021873807362'],1
7077.0,['1597613480013860866'],1
7079.0,['1593201819932823554'],1
7080.0,['1596338594679230466'],1
7081.0,"['1368261032066621588', '1373159089560256513']",2
7082.0,['1596142361494622211'],1
7086.0,['1566993581440909312'],1
7087.0,['1575752663387738117'],1
7089.0,['1571260829605171204'],1
7092.0,['1593189023983734790'],1
7093.0,['14360739'],1
7094.0,['1587777625195679751'],1
7095.0,['1574786307959783426'],1
7097.0,['364847275'],1
7098.0,['3390775469'],1
7099.0,['1549506846100074496'],1
7100.0,['1559030271164329984'],1
7101.0,['892281014'],1
7102.0,['391585975'],1
7103.0,['270475451'],1
7105.0,['1573983813356720128'],1
7107.0,"['374546632', '1400725125561978882']",2
7108.0,['110829768'],1
7110.0,['3683590348'],1
7112.0,"['1428932567869362182', '946860414675181573']",2
7113.0,['627777763'],1
7114.0,['1556816106'],1
7116.0,['3375571187'],1
7117.0,['554901748'],1
7119.0,"['922477127232118784', '292432829']",2
7120.0,['1108216856102559744'],1
7121.0,['1101562150022275072'],1
7122.0,"['1059734285744332800', '442253087']",2
7124.0,['136257819'],1
7126.0,['4250345777'],1
7128.0,"['1283879549219024896', '1339685009658142720']",2
7129.0,['1312978833923026944'],1
7131.0,['722527428858523648'],1
7132.0,['1288337318592557056'],1
7133.0,"['1223835786698731520', '1498336173856591873']",2
7134.0,['948157487634624512'],1
7135.0,['101654847'],1
7136.0,"['176103747', '16796735', '36261242']",3
7137.0,['1140810499749228545'],1
7138.0,['1161064675922063361'],1
7139.0,"['1973887309', '17675829']",2
7140.0,['1586415453747937280'],1
7141.0,['180822352'],1
7142.0,"['975642974', '1227981565420015616']",2
7144.0,['1154084461518172162'],1
7145.0,['1405312578117533696'],1
7146.0,['1521083373262831616'],1
7147.0,['57090404'],1
7148.0,"['213852518', '1238479560724938754', '2429091122']",3
7149.0,['785064306'],1
7150.0,['1597322048350654476'],1
7151.0,['391061878'],1
7154.0,['1340285311'],1
7157.0,"['1319413853214494720', '716062778394456069']",2
7158.0,['1223426921901346816'],1
7159.0,['1593976923641757696'],1
7160.0,['1557547716598583296'],1
7161.0,['137830813'],1
7163.0,['1580731748735799296'],1
7164.0,['1329092849510404096'],1
7165.0,"['4923811', '21305315']",2
7166.0,['430121384'],1
7168.0,['1378897345035653121'],1
7170.0,['741369805723295744'],1
7172.0,"['2430804422', '1560371208234885120']",2
7173.0,"['117907912', '499154896']",2
7174.0,['1241262244719144966'],1
7175.0,['137568715'],1
7177.0,['341778900'],1
7178.0,['1349198306'],1
7181.0,['1559203478152642560'],1
7182.0,"['1249094315793678336', '1258824405976780813']",2
7187.0,['1573653647585673216'],1
7188.0,['1577713753721896960'],1
7189.0,['1576958935231332352'],1
7190.0,"['1259807215', '1433769773163233303']",2
7194.0,['1572286591170740225'],1
7195.0,['1438346295119204357'],1
7197.0,['1294331653691768834'],1
7202.0,['398926374'],1
7203.0,['1024014946718416899'],1
7204.0,['1581327941857935363'],1
7205.0,['1572270943799574531'],1
7206.0,['1479920149104840705'],1
7207.0,['1378231619446788097'],1
7208.0,['1401592509210447873'],1
7209.0,['129180218'],1
7210.0,"['111092283', '16350505']",2
7213.0,['123937349'],1
7216.0,"['231678538', '1176546593861820416']",2
7219.0,"['127345230', '162071541']",2
7221.0,['1597741389948723200'],1
7222.0,['1573410161577762816'],1
7223.0,['1537332550913302528'],1
7224.0,['1523234224395853824'],1
7225.0,['4913832534'],1
7227.0,"['359080538', '23808102']",2
7229.0,"['3339919967', '829481008458240000']",2
7230.0,['4635435620'],1
7234.0,['1444721254389403652'],1
7236.0,['1530535089515339778'],1
7237.0,['1441735298'],1
7238.0,"['109257354', '154541629']",2
7239.0,"['46080651', '2811559122']",2
7241.0,"['40051341', '2233154425', '1508750693745795072']",3
7242.0,['163521165'],1
7243.0,['123937418'],1
7244.0,['75178644'],1
7245.0,['1320750754249015303'],1
7248.0,"['10429092', '250765374']",2
7249.0,['189735591'],1
7254.0,['1595063444839038984'],1
7255.0,['142811824'],1
7257.0,"['224076463', '149522272']",2
7258.0,"['1281279285605662720', '757730207541424132']",2
7261.0,"['62595772', '2462262230', '758751213823209473']",3
7263.0,['1148396228'],1
7264.0,['1483069098061877255'],1
7265.0,['396829385'],1
7266.0,['1425222575311966215'],1
7268.0,['1335195753040519168'],1
7269.0,['728234167272677376'],1
7270.0,['1335896777602572288'],1
7272.0,['924150796152922112'],1
7273.0,"['1475297665424498689', '1544028011619651584', '494919726', '1968436734', '1050357133777297409', '1498006626007146499', '1051743668229603328', '1255462674529488904', '1348241860167426049']",9
7275.0,['99033844'],1
7276.0,"['1514292782411751426', '1481592838739701763']",2
7277.0,"['1519374914670764034', '1414014872967434241']",2
7278.0,['1511355560310022146'],1
7279.0,['1403003867512643586'],1
7281.0,['174269188'],1
7285.0,['1571270190733873152'],1
7287.0,['535765793'],1
7289.0,['40837929'],1
7292.0,['1085282960352264192'],1
7295.0,['1882137402'],1
7296.0,['191988894'],1
7297.0,['83567424'],1
7298.0,['221455170'],1
7300.0,['115549002'],1
7301.0,['1270178880817713152'],1
7303.0,['1245651337615818754'],1
7304.0,"['283059050', '2997498100']",2
7305.0,['213853034'],1
7306.0,"['335487853', '783692508039569408']",2
7308.0,"['340951826', '1481411582680780804']",2
7309.0,['2841846656'],1
7310.0,['2160534444'],1
